年別,類型,觀光遊憩區,細分,縣市,縣市別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,合計
2018,其他, -,頑皮世界,臺南市,10021,9122,28123,19003,17915,9047,10381,10388,7787,8277,13511,17139,16200,166893
2018,其他, -,8大森林博覽樂園,屏東縣,10013,4633,14930,7096,12317,7103,5401,3252,1987,1193,1649,1968,2528,64057
2018,其他, -,大路觀主題樂園,屏東縣,10013,1778,3103,2186,10407,3339,4234,7409,4839,3012,3668,1055,2101,47131
2018,其他, -,小墾丁渡假村,屏東縣,10013,5227,6319,6430,9670,6510,5845,8383,8647,4058,7796,5732,8490,83107
2018,其他, -,清境高空觀景步道,南投縣,10008,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,其他, -,臺中公園,臺中市,66000,216446,972707,1483601,260920,219377,232043,199467,186699,219469,221819,230989,219724,4663261
2018,其他, -,臺北市孔廟,臺北市,63000,38010,49297,43194,40703,34200,36211,29561,29557,32959,35456,35939,34076,439163
2018,其他, -,淡水紅毛城,新北市,65000,98795,99795,79936,77262,70763,63920,65404,68728,62330,76736,70225,80502,914396
2018,其他, -,滬尾砲臺,新北市,65000,6477,5930,6631,8409,6700,5926,5323,5361,7612,7173,4504,6449,76495
2018,其他, -,前清淡水關稅務司官邸,新北市,65000,14190,11365,13036,13515,11367,11163,10972,11664,12315,15799,15508,15374,156268
2018,其他, -,北埔遊憩區,新竹縣,10004,55494,54320,75416,64574,62218,49902,56778,60082,60502,61640,61352,70132,732410
2018,其他, -,彰化孔子廟,彰化縣,10007,2287,1648,2156,2598,2781,2086,2498,2529,2140,2336,2031,2543,27633
2018,其他, -,五妃廟,臺南市,10021,5666,5100,5102,6013,4568,4579,5486,5167,5479,5517,5429,6404,64510
2018,其他, -,台北市立兒童新樂園,臺北市,63000,147262,202301,159282,229796,138925,149938,225838,223009,124169,160701,141012,177221,2079454
2018,其他, -,台北植物園,臺北市,63000,74279,56564,106103,120347,113979,163816,133966,122368,132721,157531,151566,122620,1455860
2018,其他, -,基隆嶼,基隆市,10017,0,4,5,0,460,9,3,52,194,294,25,2,1048
2018,其他, -,華山1914文化創意產業園區,臺北市,63000,204497,170818,267961,321277,243585,180790,444216,387174,267983,233936,187096,336936,3246269
2018,其他, -,松山文創園區,臺北市,63000,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,其他, -,鶯歌老街,新北市,65000,61248,70326,59976,57495,82850,75372,75089,84588,85328,82174,77918,63753,876117
2018,其他, -,三峽老街,新北市,65000,228000,284000,171000,155000,139000,129000,129000,145000,137000,151000,175000,170000,2013000
2018,其他, -,八里左岸公園,新北市,65000,235000,285000,286000,319000,297000,296000,298000,241000,280000,237000,255000,270000,3299000
2018,其他, -,淡水金色水岸,新北市,65000,330000,397000,396000,448000,410000,408000,404000,331000,393000,332000,348000,384000,4581000
2018,其他, -,竹圍漁港,桃園市,68000,137806,154076,149853,152228,151553,153827,199754,182282,160140,166176,160768,103970,1872433
2018,其他, -,大湖草莓文化館,苗栗縣,10005,196011,407850,183717,109248,35106,23029,28007,24550,16302,26572,34514,138219,1223125
2018,其他, -,客家大院,苗栗縣,10005,1500,5000,2800,18000,15000,8500,6000,5000,3800,4000,3500,5000,78100
2018,其他, -,客家圓樓,苗栗縣,10005,0,0,0,0,0,0,0,0,0,0,0,0,0
